block_id,service_id,schedule_number
block_418,service_1,6/07
block_442,service_1,10/01
block_443,service_1,10/02
block_444,service_1,10/03
block_445,service_1,10/04
block_446,service_1,10/05
block_447,service_1,10/06
block_448,service_1,10/07
block_449,service_1,10/08
block_450,service_1,10/09
block_451,service_1,10/10
block_483,service_1,17/01
block_484,service_1,17/02
block_485,service_1,17/03
block_486,service_1,17/04
block_487,service_1,17/05
block_488,service_1,17/06
block_489,service_1,17/07
block_1039,service_5,75/01
block_1040,service_5,75/02
block_1041,service_5,75/03
block_1042,service_5,75/04
block_1043,service_5,75/05
block_1044,service_5,75/06
block_1045,service_5,75/07
block_1046,service_5,75/08
block_1047,service_5,75/09
block_257,service_5,1/01
block_258,service_5,1/02
block_259,service_5,1/03
block_260,service_5,1/04
block_261,service_5,1/05
block_262,service_5,1/06
block_263,service_5,1/07
block_264,service_5,1/08
block_265,service_5,1/09
block_266,service_5,1/10
block_267,service_5,1/11
block_268,service_5,1/12
block_269,service_5,1/13
block_270,service_5,1/14
block_271,service_5,1/15
block_946,service_5,19/01
block_947,service_5,19/02
block_948,service_5,19/03
block_949,service_5,19/04
block_950,service_5,19/05
block_951,service_5,19/06
block_970,service_5,22/01
block_971,service_5,22/02
block_972,service_5,22/03
block_973,service_5,22/04
block_974,service_5,22/05
block_975,service_5,22/06
block_976,service_5,22/07
block_977,service_5,22/08
block_978,service_5,22/09
block_979,service_5,22/10
block_980,service_5,22/11
block_276,service_5,3/01
block_277,service_5,3/02
block_278,service_5,3/03
block_279,service_5,3/04
block_280,service_5,3/05
block_281,service_5,3/06
block_282,service_5,3/07
block_283,service_5,3/08
block_284,service_5,3/09
block_285,service_5,3/10
block_286,service_5,3/11
block_287,service_5,3/12
block_288,service_5,3/13
block_289,service_5,3/14
block_328,service_5,9/01
block_329,service_5,9/02
block_330,service_5,9/03
block_331,service_5,9/04
block_332,service_5,9/05
block_333,service_5,9/06
block_334,service_5,9/07
block_335,service_5,9/08
block_346,service_5,11/01
block_347,service_5,11/02
block_348,service_5,11/03
block_349,service_5,11/04
block_350,service_5,11/05
block_351,service_5,11/06
block_352,service_5,11/07
block_981,service_5,24/01
block_982,service_5,24/02
block_983,service_5,24/03
block_984,service_5,24/04
block_985,service_5,24/05
block_986,service_5,24/06
block_987,service_5,24/07
block_988,service_5,24/08
block_1000,service_5,50/01
block_1001,service_5,50/02
block_1002,service_5,50/03
block_1003,service_5,50/04
block_1004,service_5,50/05
block_1005,service_5,50/06
block_1006,service_5,50/07
block_1007,service_5,50/08
block_1008,service_5,50/09
block_1009,service_5,50/10
block_1010,service_5,50/11
block_1011,service_5,50/12
block_1012,service_5,50/13
block_1013,service_5,50/14
block_1014,service_5,50/15
block_1015,service_5,50/16
block_1016,service_5,50/17
block_1017,service_5,50/18
block_1018,service_5,50/19
block_1019,service_5,50/20
block_995,service_5,50/21
block_996,service_5,50/22
block_997,service_5,50/23
block_998,service_5,50/24
block_999,service_5,50/25
block_929,service_5,18/01
block_930,service_5,18/02
block_931,service_5,18/03
block_932,service_5,18/04
block_933,service_5,18/05
block_934,service_5,18/06
block_935,service_5,18/07
block_936,service_5,18/08
block_937,service_5,18/09
block_938,service_5,18/10
block_939,service_5,18/11
block_940,service_5,18/12
block_941,service_5,18/13
block_942,service_5,18/14
block_943,service_5,18/15
block_944,service_5,18/16
block_945,service_5,18/17
block_964,service_5,21/01
block_965,service_5,21/02
block_966,service_5,21/03
block_967,service_5,21/04
block_968,service_5,21/05
block_969,service_5,21/06
block_1020,service_5,52/01
block_1021,service_5,52/02
block_1022,service_5,52/03
block_1023,service_5,52/04
block_1024,service_5,52/05
block_1025,service_5,52/06
block_1026,service_5,52/07
block_1027,service_5,52/08
block_1028,service_5,52/09
block_1029,service_5,52/10
block_1030,service_5,52/11
block_1031,service_5,52/12
block_1032,service_5,52/13
block_1033,service_5,52/14
block_1034,service_5,52/15
block_1035,service_5,52/16
block_1036,service_5,52/17
block_1037,service_5,52/18
block_1038,service_5,52/19
block_290,service_5,4/01
block_291,service_5,4/02
block_292,service_5,4/03
block_293,service_5,4/04
block_294,service_5,4/05
block_295,service_5,4/06
block_296,service_5,4/07
block_297,service_5,4/08
block_298,service_5,4/09
block_313,service_5,8/01
block_314,service_5,8/02
block_315,service_5,8/03
block_316,service_5,8/04
block_317,service_5,8/05
block_318,service_5,8/06
block_319,service_5,8/07
block_320,service_5,8/08
block_321,service_5,8/09
block_322,service_5,8/10
block_323,service_5,8/11
block_324,service_5,8/12
block_325,service_5,8/13
block_326,service_5,8/14
block_327,service_5,8/15
block_353,service_5,13/01
block_354,service_5,13/02
block_355,service_5,13/03
block_356,service_5,13/04
block_357,service_5,13/05
block_358,service_5,13/06
block_359,service_5,13/07
block_360,service_5,13/08
block_361,service_5,13/09
block_362,service_5,13/10
block_908,service_5,13/11
block_909,service_5,13/12
block_910,service_5,13/13
block_911,service_5,13/14
block_912,service_5,13/15
block_952,service_5,20/01
block_953,service_5,20/02
block_954,service_5,20/03
block_955,service_5,20/04
block_956,service_5,20/05
block_957,service_5,20/06
block_958,service_5,20/07
block_959,service_5,20/08
block_960,service_5,20/09
block_961,service_5,20/10
block_962,service_5,20/11
block_963,service_5,20/12
block_299,service_5,5/01
block_300,service_5,5/02
block_301,service_5,5/03
block_302,service_5,5/04
block_303,service_5,5/05
block_304,service_5,5/06
block_305,service_5,5/07
block_913,service_5,14/01
block_914,service_5,14/02
block_915,service_5,14/03
block_916,service_5,14/04
block_917,service_5,14/05
block_918,service_5,14/06
block_919,service_5,14/07
block_920,service_5,14/08
block_921,service_5,14/09
block_989,service_5,49/01
block_990,service_5,49/02
block_991,service_5,49/03
block_992,service_5,49/04
block_993,service_5,49/05
block_994,service_5,49/06
block_272,service_5,2/01
block_273,service_5,2/02
block_274,service_5,2/03
block_275,service_5,2/04
block_306,service_5,6/01
block_307,service_5,6/02
block_308,service_5,6/03
block_309,service_5,6/04
block_310,service_5,6/05
block_311,service_5,6/06
block_312,service_5,6/07
block_336,service_5,10/01
block_337,service_5,10/02
block_338,service_5,10/03
block_339,service_5,10/04
block_340,service_5,10/05
block_341,service_5,10/06
block_342,service_5,10/07
block_343,service_5,10/08
block_344,service_5,10/09
block_345,service_5,10/10
block_922,service_5,17/01
block_923,service_5,17/02
block_924,service_5,17/03
block_925,service_5,17/04
block_926,service_5,17/05
block_927,service_5,17/06
block_928,service_5,17/07
block_248,service_4,75/01
block_249,service_4,75/02
block_250,service_4,75/03
block_251,service_4,75/04
block_252,service_4,75/05
block_253,service_4,75/06
block_254,service_4,75/07
block_255,service_4,75/08
block_256,service_4,75/09
block_1,service_4,1/01
block_10,service_4,1/02
block_2,service_4,1/03
block_3,service_4,1/04
block_4,service_4,1/05
block_5,service_4,1/06
block_6,service_4,1/07
block_7,service_4,1/08
block_8,service_4,1/09
block_9,service_4,1/10
block_903,service_4,1/11
block_904,service_4,1/12
block_905,service_4,1/13
block_906,service_4,1/14
block_907,service_4,1/15
block_140,service_4,19/01
block_141,service_4,19/02
block_142,service_4,19/03
block_143,service_4,19/04
block_144,service_4,19/05
block_145,service_4,19/06
block_164,service_4,22/01
block_165,service_4,22/02
block_166,service_4,22/03
block_167,service_4,22/04
block_168,service_4,22/05
block_169,service_4,22/06
block_170,service_4,22/07
block_171,service_4,22/08
block_172,service_4,22/09
block_173,service_4,22/10
block_174,service_4,22/11
block_233,service_4,62/01
block_234,service_4,62/02
block_235,service_4,62/03
block_236,service_4,62/04
block_237,service_4,62/05
block_238,service_4,64/01
block_239,service_4,64/02
block_240,service_4,64/03
block_241,service_4,64/04
block_242,service_4,64/05
block_15,service_4,3/01
block_16,service_4,3/02
block_17,service_4,3/03
block_18,service_4,3/04
block_19,service_4,3/05
block_20,service_4,3/06
block_21,service_4,3/07
block_22,service_4,3/08
block_23,service_4,3/09
block_24,service_4,3/10
block_25,service_4,3/11
block_26,service_4,3/12
block_27,service_4,3/13
block_28,service_4,3/14
block_243,service_4,69/01
block_244,service_4,69/02
block_245,service_4,69/03
block_246,service_4,69/04
block_247,service_4,69/05
block_67,service_4,9/01
block_68,service_4,9/02
block_69,service_4,9/03
block_70,service_4,9/04
block_71,service_4,9/05
block_72,service_4,9/06
block_73,service_4,9/07
block_74,service_4,9/08
block_85,service_4,11/01
block_86,service_4,11/02
block_87,service_4,11/03
block_88,service_4,11/04
block_89,service_4,11/05
block_90,service_4,11/06
block_91,service_4,11/07
block_175,service_4,24/01
block_176,service_4,24/02
block_177,service_4,24/03
block_178,service_4,24/04
block_179,service_4,24/05
block_180,service_4,24/06
block_181,service_4,24/07
block_182,service_4,24/08
block_189,service_4,50/01
block_190,service_4,50/02
block_191,service_4,50/03
block_192,service_4,50/04
block_193,service_4,50/05
block_194,service_4,50/06
block_195,service_4,50/07
block_196,service_4,50/08
block_197,service_4,50/09
block_198,service_4,50/10
block_199,service_4,50/11
block_200,service_4,50/12
block_201,service_4,50/13
block_202,service_4,50/14
block_203,service_4,50/15
block_204,service_4,50/16
block_205,service_4,50/17
block_206,service_4,50/18
block_207,service_4,50/19
block_208,service_4,50/20
block_209,service_4,50/21
block_210,service_4,50/22
block_211,service_4,50/23
block_212,service_4,50/24
block_213,service_4,50/25
block_123,service_4,18/01
block_124,service_4,18/02
block_125,service_4,18/03
block_126,service_4,18/04
block_127,service_4,18/05
block_128,service_4,18/06
block_129,service_4,18/07
block_130,service_4,18/08
block_131,service_4,18/09
block_132,service_4,18/10
block_133,service_4,18/11
block_134,service_4,18/12
block_135,service_4,18/13
block_136,service_4,18/14
block_137,service_4,18/15
block_138,service_4,18/16
block_139,service_4,18/17
block_158,service_4,21/01
block_159,service_4,21/02
block_160,service_4,21/03
block_161,service_4,21/04
block_162,service_4,21/05
block_163,service_4,21/06
block_214,service_4,52/01
block_215,service_4,52/02
block_216,service_4,52/03
block_217,service_4,52/04
block_218,service_4,52/05
block_219,service_4,52/06
block_220,service_4,52/07
block_221,service_4,52/08
block_222,service_4,52/09
block_223,service_4,52/10
block_224,service_4,52/11
block_225,service_4,52/12
block_226,service_4,52/13
block_227,service_4,52/14
block_228,service_4,52/15
block_229,service_4,52/16
block_230,service_4,52/17
block_231,service_4,52/18
block_232,service_4,52/19
block_29,service_4,4/01
block_30,service_4,4/02
block_31,service_4,4/03
block_32,service_4,4/04
block_33,service_4,4/05
block_34,service_4,4/06
block_35,service_4,4/07
block_36,service_4,4/08
block_37,service_4,4/09
block_52,service_4,8/01
block_53,service_4,8/02
block_54,service_4,8/03
block_55,service_4,8/04
block_56,service_4,8/05
block_57,service_4,8/06
block_58,service_4,8/07
block_59,service_4,8/08
block_60,service_4,8/09
block_61,service_4,8/10
block_62,service_4,8/11
block_63,service_4,8/12
block_64,service_4,8/13
block_65,service_4,8/14
block_66,service_4,8/15
block_100,service_4,13/01
block_101,service_4,13/02
block_102,service_4,13/03
block_103,service_4,13/04
block_104,service_4,13/05
block_105,service_4,13/06
block_106,service_4,13/07
block_92,service_4,13/08
block_93,service_4,13/09
block_94,service_4,13/10
block_95,service_4,13/11
block_96,service_4,13/12
block_97,service_4,13/13
block_98,service_4,13/14
block_99,service_4,13/15
block_146,service_4,20/01
block_147,service_4,20/02
block_148,service_4,20/03
block_149,service_4,20/04
block_150,service_4,20/05
block_151,service_4,20/06
block_152,service_4,20/07
block_153,service_4,20/08
block_154,service_4,20/09
block_155,service_4,20/10
block_156,service_4,20/11
block_157,service_4,20/12
block_38,service_4,5/01
block_39,service_4,5/02
block_40,service_4,5/03
block_41,service_4,5/04
block_42,service_4,5/05
block_43,service_4,5/06
block_44,service_4,5/07
block_107,service_4,14/01
block_108,service_4,14/02
block_109,service_4,14/03
block_110,service_4,14/04
block_111,service_4,14/05
block_112,service_4,14/06
block_113,service_4,14/07
block_114,service_4,14/08
block_115,service_4,14/09
block_183,service_4,49/01
block_184,service_4,49/02
block_185,service_4,49/03
block_186,service_4,49/04
block_187,service_4,49/05
block_188,service_4,49/06
block_11,service_4,2/01
block_12,service_4,2/02
block_13,service_4,2/03
block_14,service_4,2/04
block_45,service_4,6/01
block_46,service_4,6/02
block_47,service_4,6/03
